masuk,keluar,arah,px_in,px_out,pnl,diblokir
2021-01-07 15:00:00+00:00,2021-01-08 17:00:00+00:00,-1,1909.938,1839.6180000000004,69.81999999999971,False
2021-01-12 14:00:00+00:00,2021-01-12 20:00:00+00:00,-1,1844.118,1854.125,-10.507000000000062,False
2021-01-13 21:00:00+00:00,2021-01-14 18:00:00+00:00,-1,1848.655,1855.225,-7.069999999999937,False
2021-01-15 14:00:00+00:00,2021-01-18 06:00:00+00:00,-1,1838.498,1838.415,-0.4169999999999163,False
2021-01-20 15:00:00+00:00,2021-01-21 14:00:00+00:00,1,1855.408,1860.845,4.9370000000001255,False
2021-01-28 02:00:00+00:00,2021-01-28 13:00:00+00:00,-1,1835.985,1850.493,-15.008000000000038,False
2021-01-28 14:00:00+00:00,2021-01-28 17:00:00+00:00,1,1856.915,1845.635,-11.779999999999973,False
2021-01-29 10:00:00+00:00,2021-01-29 18:00:00+00:00,1,1851.555,1851.995,-0.06000000000017275,False
2021-02-02 08:00:00+00:00,2021-02-05 09:00:00+00:00,-1,1848.155,1808.325,39.32999999999993,False
2021-02-10 08:00:00+00:00,2021-02-11 03:00:00+00:00,1,1845.665,1833.915,-12.25,False
2021-02-16 12:00:00+00:00,2021-02-16 16:00:00+00:00,-1,1816.038,1813.524,2.0140000000001237,False
2021-02-17 00:00:00+00:00,2021-02-18 09:00:00+00:00,-1,1788.285,1787.605,0.18000000000006366,False
2021-02-18 15:00:00+00:00,2021-02-19 14:00:00+00:00,-1,1775.675,1789.465,-14.289999999999964,False
2021-02-25 09:00:00+00:00,2021-02-26 15:00:00+00:00,-1,1790.415,1730.295,59.6199999999999,False
2021-03-01 12:00:00+00:00,2021-03-02 11:00:00+00:00,-1,1743.415,1727.725,15.190000000000055,False
2021-03-03 12:00:00+00:00,2021-03-08 00:00:00+00:00,-1,1724.155,1707.685,15.970000000000027,True
2021-03-08 09:00:00+00:00,2021-03-09 07:00:00+00:00,-1,1696.235,1692.849,2.8859999999999677,True
2021-03-17 05:00:00+00:00,2021-03-17 12:00:00+00:00,1,1736.717,1729.378,-7.839000000000169,False
2021-03-17 19:00:00+00:00,2021-03-18 08:00:00+00:00,1,1749.518,1739.474,-10.544000000000096,False
2021-03-22 07:00:00+00:00,2021-03-22 17:00:00+00:00,-1,1730.475,1740.248,-10.273000000000138,True
2021-03-23 14:00:00+00:00,2021-03-24 05:00:00+00:00,-1,1730.908,1733.375,-2.9670000000000982,True
2021-03-25 12:00:00+00:00,2021-03-25 13:00:00+00:00,-1,1728.368,1739.049,-11.18100000000004,True
2021-03-25 17:00:00+00:00,2021-03-26 15:00:00+00:00,-1,1728.175,1731.138,-3.4629999999999654,True
