TF,atr,mult_e,mult_t,mode,sesi,n,net,PF,WR%,avgR,maxDD,hijau,netSide,netBull,avgR_side
M15,14,2.5,5.0,moderate,asia,445,774,1.38,35.7,0.0043,-166,3/6,-34,808,-0.0496
M15,14,2.5,5.0,moderate,ny,1002,-538,0.91,37.6,-0.0352,-902,1/6,-41,-497,-0.0487
M15,14,2.5,5.0,conservative,all,1527,1565,1.2,34.3,-0.0108,-532,2/6,-312,1877,-0.0668
M15,14,2.5,5.0,conservative,asia,262,594,1.56,36.6,0.0056,-200,4/6,23,571,-0.01
M15,14,2.5,5.0,conservative,ny,510,-81,0.97,35.7,-0.0329,-601,3/6,-100,19,-0.0619
M15,20,1.2,-,direct,all,10961,-2196,0.94,34.7,-0.0532,-2904,2/6,-2095,-101,-0.0803
M15,20,1.2,-,direct,asia,2002,689,1.11,37.8,-0.0223,-323,2/6,-173,862,-0.0708
M15,20,1.2,-,direct,ny,3232,-842,0.94,34.8,-0.0335,-1030,1/6,-639,-203,-0.0516
M15,20,1.2,2.5,moderate,all,7615,-1183,0.96,34.0,-0.0386,-2046,2/6,-1717,534,-0.069
M15,20,1.2,2.5,moderate,asia,1431,615,1.14,37.0,-0.0319,-430,2/6,-265,880,-0.0865
M15,20,1.2,2.5,moderate,ny,2352,-831,0.91,34.6,-0.0311,-991,1/6,-595,-237,-0.0472
M15,20,1.2,2.5,conservative,all,3965,1703,1.13,35.3,-0.0125,-544,3/6,-448,2151,-0.049
M15,20,1.2,2.5,conservative,asia,725,718,1.35,38.9,-0.0038,-149,3/6,-87,805,-0.0849
M15,20,1.2,2.5,conservative,ny,1234,51,1.01,35.9,-0.0071,-355,2/6,-92,143,-0.0121
M15,20,1.2,-,buy_only,all,5480,-546,0.97,35.5,-0.0269,-1159,2/6,-1074,528,-0.0769
M15,20,1.2,-,buy_only,asia,974,-109,0.97,37.9,-0.0048,-385,3/6,-98,-11,-0.0674
M15,20,1.2,-,buy_only,ny,1611,-427,0.93,34.8,-0.0264,-441,2/6,-373,-54,-0.0646
M15,20,1.2,-,sell_only,all,5481,-1649,0.91,33.9,-0.0795,-2809,1/6,-1021,-628,-0.0838
M15,20,1.2,-,sell_only,asia,1028,798,1.26,37.7,-0.0389,-333,3/6,-75,874,-0.0741
M15,20,1.2,-,sell_only,ny,1621,-415,0.94,34.9,-0.0405,-801,2/6,-266,-149,-0.0383
M15,20,1.2,3.8,moderate,all,6638,-752,0.97,33.8,-0.0422,-2156,2/6,-1473,720,-0.0687
M15,20,1.2,3.8,moderate,asia,1199,-17,1.0,34.4,-0.0503,-504,2/6,-264,247,-0.0963
M15,20,1.2,3.8,moderate,ny,2086,-242,0.97,35.5,-0.028,-877,2/6,-512,270,-0.0555
M15,20,1.2,3.8,conservative,all,4517,701,1.04,34.4,-0.0339,-1233,2/6,-776,1477,-0.062
M15,20,1.2,3.8,conservative,asia,853,375,1.15,35.4,-0.0423,-400,2/6,-166,541,-0.0937
M15,20,1.2,3.8,conservative,ny,1329,-92,0.98,35.0,-0.0179,-497,2/6,-309,217,-0.0465
M15,20,1.2,5.0,moderate,all,6235,-410,0.98,34.2,-0.0373,-1616,2/6,-1125,715,-0.0671
M15,20,1.2,5.0,moderate,asia,1072,590,1.17,36.0,-0.012,-210,3/6,-160,750,-0.0785
M15,20,1.2,5.0,moderate,ny,1941,-329,0.96,35.6,-0.0199,-667,3/6,-363,34,-0.0512
M15,20,1.2,5.0,conservative,all,4857,671,1.04,34.4,-0.033,-1110,2/6,-845,1516,-0.0718
M15,20,1.2,5.0,conservative,asia,905,785,1.3,36.1,-0.0097,-177,3/6,-116,901,-0.0802
M15,20,1.2,5.0,conservative,ny,1408,-118,0.98,34.7,-0.0109,-435,2/6,-310,193,-0.0573
M15,20,1.8,-,direct,all,6691,-703,0.98,34.9,-0.0437,-1456,2/6,-877,174,-0.0605
M15,20,1.8,-,direct,asia,1249,202,1.04,36.5,-0.0349,-395,3/6,-221,424,-0.0675
M15,20,1.8,-,direct,ny,2106,682,1.07,37.0,0.0095,-388,5/6,246,436,0.0118
M15,20,1.8,2.5,moderate,all,5478,-533,0.98,34.0,-0.0382,-1506,2/6,-1105,572,-0.0622
M15,20,1.8,2.5,moderate,asia,1038,118,1.03,35.9,-0.0465,-535,1/6,-261,379,-0.0799
M15,20,1.8,2.5,moderate,ny,1799,62,1.01,36.0,-0.0143,-398,2/6,-27,89,-0.0176
M15,20,1.8,2.5,conservative,all,2499,722,1.07,35.9,-0.0024,-553,4/6,-108,830,-0.0281
M15,20,1.8,2.5,conservative,asia,442,313,1.19,37.1,-0.0341,-232,2/6,-118,432,-0.1013
M15,20,1.8,2.5,conservative,ny,936,353,1.08,37.2,0.0107,-387,3/6,184,170,0.0098
M15,20,1.8,-,buy_only,all,3345,530,1.04,36.8,-0.0078,-821,2/6,-377,907,-0.055
M15,20,1.8,-,buy_only,asia,612,-193,0.92,38.1,-0.0281,-281,3/6,-136,-57,-0.082
M15,20,1.8,-,buy_only,ny,1030,15,1.0,37.7,0.0197,-661,3/6,111,-96,0.0095
M15,20,1.8,-,sell_only,all,3346,-1233,0.92,32.9,-0.0796,-2044,1/6,-500,-733,-0.066
M15,20,1.8,-,sell_only,asia,637,396,1.15,35.0,-0.0415,-398,1/6,-85,481,-0.053
M15,20,1.8,-,sell_only,ny,1076,667,1.13,36.4,-0.0002,-274,4/6,135,532,0.0141
M15,20,1.8,3.8,moderate,all,4503,-70,1.0,33.9,-0.0362,-1472,2/6,-882,811,-0.0607
M15,20,1.8,3.8,moderate,asia,793,-457,0.87,33.8,-0.0722,-736,1/6,-273,-184,-0.1074
M15,20,1.8,3.8,moderate,ny,1517,809,1.12,37.6,-0.0102,-468,4/6,50,759,-0.0227
M15,20,1.8,3.8,conservative,all,2395,1605,1.15,34.5,-0.0122,-628,4/6,-199,1804,-0.045
M15,20,1.8,3.8,conservative,asia,446,119,1.07,35.2,-0.0623,-407,2/6,-170,289,-0.1088
M15,20,1.8,3.8,conservative,ny,773,940,1.25,36.7,0.027,-296,4/6,172,769,0.0098
M15,20,1.8,5.0,moderate,all,4100,446,1.02,34.7,-0.0313,-1010,3/6,-564,1010,-0.0574
M15,20,1.8,5.0,moderate,asia,655,342,1.13,38.8,-0.0108,-304,2/6,-122,464,-0.049
M15,20,1.8,5.0,moderate,ny,1396,559,1.08,37.1,0.0017,-402,4/6,213,345,0.0008
M15,20,1.8,5.0,conservative,all,2723,1466,1.12,34.9,-0.0175,-452,4/6,-234,1700,-0.0534
M15,20,1.8,5.0,conservative,asia,489,405,1.21,37.0,-0.0119,-271,2/6,-111,516,-0.0563
M15,20,1.8,5.0,conservative,ny,867,792,1.19,36.9,0.0325,-397,4/6,245,547,0.0285
M15,20,2.5,-,direct,all,4265,211,1.01,34.1,-0.0413,-1378,3/6,-1050,1261,-0.0825
M15,20,2.5,-,direct,asia,779,425,1.11,33.8,-0.0279,-385,1/6,-139,565,-0.0703
M15,20,2.5,-,direct,ny,1450,-433,0.95,36.2,-0.0401,-753,2/6,-303,-130,-0.0532
M15,20,2.5,2.5,moderate,all,4265,211,1.01,34.1,-0.0413,-1378,3/6,-1050,1261,-0.0825
M15,20,2.5,2.5,moderate,asia,779,425,1.11,33.8,-0.0279,-385,1/6,-139,565,-0.0703
M15,20,2.5,2.5,moderate,ny,1450,-433,0.95,36.2,-0.0401,-753,2/6,-303,-130,-0.0532
M15,20,2.5,2.5,conservative,all,4265,211,1.01,34.1,-0.0413,-1378,3/6,-1050,1261,-0.0825
M15,20,2.5,2.5,conservative,asia,779,425,1.11,33.8,-0.0279,-385,1/6,-139,565,-0.0703
M15,20,2.5,2.5,conservative,ny,1450,-433,0.95,36.2,-0.0401,-753,2/6,-303,-130,-0.0532
M15,20,2.5,-,buy_only,all,2132,812,1.07,36.0,-0.0011,-806,3/6,-452,1264,-0.0718
M15,20,2.5,-,buy_only,asia,407,-46,0.98,34.6,-0.0307,-465,3/6,-135,89,-0.0916
M15,20,2.5,-,buy_only,ny,716,169,1.04,37.6,0.0059,-291,2/6,-114,283,-0.0448
M15,20,2.5,-,sell_only,all,2133,-601,0.95,32.3,-0.0814,-1819,1/6,-598,-3,-0.0933
M15,20,2.5,-,sell_only,asia,372,471,1.25,32.8,-0.0248,-339,2/6,-4,475,-0.0452
M15,20,2.5,-,sell_only,ny,734,-602,0.86,34.9,-0.085,-1004,0/6,-188,-413,-0.0615
M15,20,2.5,3.8,moderate,all,3291,679,1.04,33.7,-0.037,-1340,2/6,-812,1490,-0.073
M15,20,2.5,3.8,moderate,asia,534,182,1.06,32.8,-0.0371,-416,2/6,-157,339,-0.1017
M15,20,2.5,3.8,moderate,ny,1182,-419,0.94,37.1,-0.0566,-816,2/6,-241,-178,-0.072
M15,20,2.5,3.8,conservative,all,1348,1124,1.16,34.6,-0.031,-659,2/6,-304,1429,-0.0699
M15,20,2.5,3.8,conservative,asia,208,332,1.32,33.7,-0.0275,-371,2/6,-31,363,-0.0427
M15,20,2.5,3.8,conservative,ny,534,-469,0.86,34.3,-0.0872,-765,2/6,-268,-201,-0.1202
M15,20,2.5,5.0,moderate,all,2888,619,1.04,34.1,-0.0384,-854,3/6,-613,1232,-0.0789
M15,20,2.5,5.0,moderate,asia,401,794,1.39,36.2,0.051,-151,5/6,56,738,0.0011
M15,20,2.5,5.0,moderate,ny,1066,-345,0.94,36.4,-0.0484,-871,2/6,-71,-274,-0.053
M15,20,2.5,5.0,conservative,all,1518,987,1.12,34.5,-0.0345,-511,2/6,-352,1339,-0.0949
M15,20,2.5,5.0,conservative,asia,232,578,1.55,36.6,0.0456,-128,4/6,24,554,-0.0246
M15,20,2.5,5.0,conservative,ny,547,-329,0.9,33.8,-0.0862,-680,3/6,-199,-130,-0.1102
M30,7,1.2,-,direct,all,5469,-671,0.97,33.9,-0.0544,-1904,2/6,-1200,529,-0.0811
M30,7,1.2,-,direct,asia,1117,158,1.04,34.7,-0.0431,-543,3/6,-257,415,-0.0632
M30,7,1.2,-,direct,ny,1590,61,1.01,37.1,-0.0037,-540,3/6,86,-25,-0.0041
M30,7,1.2,2.5,moderate,all,3800,369,1.02,34.2,-0.0299,-1402,2/6,-868,1237,-0.0574
M30,7,1.2,2.5,moderate,asia,730,-565,0.84,32.1,-0.0385,-631,2/6,-186,-380,-0.0395
M30,7,1.2,2.5,moderate,ny,1211,411,1.06,39.1,-0.0262,-497,3/6,-99,510,-0.0601
M30,7,1.2,2.5,conservative,all,2035,1074,1.11,34.7,-0.0167,-689,2/6,-271,1345,-0.0382
M30,7,1.2,2.5,conservative,asia,397,-58,0.97,32.2,-0.0497,-369,3/6,-70,12,-0.0286
M30,7,1.2,2.5,conservative,ny,669,339,1.09,37.1,-0.0492,-638,3/6,-194,533,-0.0929
M30,7,1.2,-,buy_only,all,2734,591,1.04,36.4,-0.0159,-680,3/6,-541,1132,-0.0758
M30,7,1.2,-,buy_only,asia,568,451,1.22,39.6,0.0154,-368,4/6,-103,553,-0.047
M30,7,1.2,-,buy_only,ny,781,26,1.01,37.9,0.0126,-346,3/6,-49,75,-0.0186
M30,7,1.2,-,sell_only,all,2735,-1262,0.91,31.4,-0.0929,-2079,1/6,-659,-603,-0.0864
M30,7,1.2,-,sell_only,asia,549,-293,0.88,29.7,-0.1036,-602,1/6,-155,-138,-0.0814
M30,7,1.2,-,sell_only,ny,809,35,1.01,36.3,-0.0194,-507,4/6,135,-100,0.0102
M30,7,1.2,3.8,moderate,all,3331,178,1.01,33.8,-0.0359,-1290,2/6,-785,964,-0.0666
M30,7,1.2,3.8,moderate,asia,576,70,1.03,35.1,-0.0272,-506,2/6,-63,133,-0.0177
M30,7,1.2,3.8,moderate,ny,1068,232,1.04,38.5,-0.015,-670,1/6,-66,298,-0.0469
M30,7,1.2,3.8,conservative,all,2272,867,1.08,33.7,-0.0294,-679,2/6,-394,1261,-0.0718
M30,7,1.2,3.8,conservative,asia,438,245,1.13,34.0,-0.0284,-404,3/6,-62,307,-0.0233
M30,7,1.2,3.8,conservative,ny,688,266,1.07,37.4,-0.0105,-548,3/6,-37,303,-0.057
M30,7,1.2,5.0,moderate,all,3145,-368,0.98,33.7,-0.046,-1070,2/6,-637,268,-0.0677
M30,7,1.2,5.0,moderate,asia,525,3,1.0,34.3,-0.0564,-475,3/6,-170,173,-0.0623
M30,7,1.2,5.0,moderate,ny,1028,-63,0.99,37.8,-0.0068,-675,3/6,-48,-15,-0.0261
M30,7,1.2,5.0,conservative,all,2404,178,1.02,33.1,-0.0491,-922,1/6,-454,632,-0.0742
M30,7,1.2,5.0,conservative,asia,437,4,1.0,33.6,-0.0595,-521,3/6,-97,100,-0.0524
M30,7,1.2,5.0,conservative,ny,737,311,1.07,37.7,0.0102,-497,4/6,52,259,-0.0119
M30,7,1.8,-,direct,all,3295,138,1.01,33.3,-0.0461,-1963,2/6,-979,1117,-0.0838
M30,7,1.8,-,direct,asia,670,1210,1.32,33.3,0.0141,-512,3/6,-162,1372,-0.0549
M30,7,1.8,-,direct,ny,1059,-1262,0.82,36.6,-0.0676,-1456,0/6,-301,-961,-0.063
M30,7,1.8,2.5,moderate,all,2713,456,1.03,33.7,-0.0295,-1403,2/6,-688,1144,-0.0617
M30,7,1.8,2.5,moderate,asia,490,894,1.3,32.4,0.0262,-497,3/6,-97,991,-0.0474
M30,7,1.8,2.5,moderate,ny,908,-822,0.86,37.4,-0.051,-1132,0/6,-217,-605,-0.0668
M30,7,1.8,2.5,conservative,all,1298,-839,0.9,34.1,-0.0508,-1192,2/6,-391,-448,-0.072
M30,7,1.8,2.5,conservative,asia,212,274,1.22,35.4,0.0255,-235,1/6,-90,364,-0.1082
M30,7,1.8,2.5,conservative,ny,501,-664,0.79,35.9,-0.098,-726,0/6,-313,-351,-0.125
M30,7,1.8,-,buy_only,all,1647,1135,1.12,35.8,-0.0001,-597,3/6,-401,1537,-0.0738
M30,7,1.8,-,buy_only,asia,371,532,1.28,36.4,0.0433,-330,4/6,-55,587,-0.0275
M30,7,1.8,-,buy_only,ny,509,-329,0.9,39.1,-0.0266,-424,3/6,-51,-278,-0.0471
M30,7,1.8,-,sell_only,all,1648,-998,0.91,30.9,-0.0921,-2120,1/6,-578,-420,-0.0938
M30,7,1.8,-,sell_only,asia,299,678,1.37,29.4,-0.022,-332,2/6,-107,785,-0.0913
M30,7,1.8,-,sell_only,ny,550,-933,0.75,34.4,-0.1055,-1219,0/6,-251,-683,-0.0781
M30,7,1.8,3.8,moderate,all,2244,600,1.04,34.5,-0.0292,-1248,2/6,-604,1204,-0.066
M30,7,1.8,3.8,moderate,asia,336,1536,1.82,39.6,0.0734,-137,3/6,-25,1561,-0.0331
M30,7,1.8,3.8,moderate,ny,790,-849,0.84,36.7,-0.0548,-1233,1/6,-250,-599,-0.0598
M30,7,1.8,3.8,conservative,all,1205,712,1.09,33.9,-0.036,-806,2/6,-510,1222,-0.1089
M30,7,1.8,3.8,conservative,asia,201,1465,2.5,38.8,0.1196,-151,4/6,-56,1520,-0.091
M30,7,1.8,3.8,conservative,ny,418,-597,0.79,34.7,-0.0816,-795,0/6,-267,-330,-0.105
M30,7,1.8,5.0,moderate,all,2057,-5,1.0,34.4,-0.0479,-1222,2/6,-577,572,-0.0798
M30,7,1.8,5.0,moderate,asia,299,1192,1.7,34.1,0.023,-172,2/6,-92,1283,-0.096
M30,7,1.8,5.0,moderate,ny,766,-1146,0.79,36.7,-0.0645,-1361,0/6,-316,-830,-0.0652
M30,7,1.8,5.0,conservative,all,1307,580,1.07,33.0,-0.063,-1235,2/6,-598,1178,-0.1237
M30,7,1.8,5.0,conservative,asia,214,1110,1.95,34.1,0.0353,-166,3/6,-44,1154,-0.0975
M30,7,1.8,5.0,conservative,ny,472,-653,0.8,35.0,-0.0839,-879,0/6,-335,-319,-0.1006
M30,7,2.5,-,direct,all,2132,1382,1.09,33.7,-0.0003,-815,2/6,-372,1753,-0.0325
M30,7,2.5,-,direct,asia,382,1166,1.38,31.4,0.1175,-453,5/6,-17,1183,0.0203
M30,7,2.5,-,direct,ny,730,-173,0.97,37.8,-0.0072,-602,2/6,-67,-106,-0.0175
M30,7,2.5,2.5,moderate,all,2132,1382,1.09,33.7,-0.0003,-815,2/6,-372,1753,-0.0325
M30,7,2.5,2.5,moderate,asia,382,1166,1.38,31.4,0.1175,-453,5/6,-17,1183,0.0203
M30,7,2.5,2.5,moderate,ny,730,-173,0.97,37.8,-0.0072,-602,2/6,-67,-106,-0.0175
M30,7,2.5,2.5,conservative,all,2132,1382,1.09,33.7,-0.0003,-815,2/6,-372,1753,-0.0325
M30,7,2.5,2.5,conservative,asia,382,1166,1.38,31.4,0.1175,-453,5/6,-17,1183,0.0203
M30,7,2.5,2.5,conservative,ny,730,-173,0.97,37.8,-0.0072,-602,2/6,-67,-106,-0.0175
M30,7,2.5,-,buy_only,all,1066,1374,1.18,36.3,0.0775,-428,4/6,-53,1427,0.0089
M30,7,2.5,-,buy_only,asia,230,558,1.29,31.7,0.1532,-423,3/6,-13,571,0.034
M30,7,2.5,-,buy_only,ny,339,410,1.16,43.7,0.1379,-561,5/6,340,69,0.1546
M30,7,2.5,-,sell_only,all,1066,7,1.0,31.1,-0.0781,-1397,2/6,-319,326,-0.0739
M30,7,2.5,-,sell_only,asia,152,608,1.52,30.9,0.0635,-333,4/6,-4,612,-0.0035
M30,7,2.5,-,sell_only,ny,391,-583,0.79,32.7,-0.1329,-919,1/6,-407,-176,-0.1689
M30,7,2.5,3.8,moderate,all,1663,1353,1.11,35.2,0.0059,-818,2/6,-276,1630,-0.0273
M30,7,2.5,3.8,moderate,asia,236,1192,1.69,39.4,0.1818,-154,5/6,-5,1197,0.0026
M30,7,2.5,3.8,moderate,ny,618,-361,0.93,38.0,-0.0063,-949,2/6,-25,-337,0.0039
M30,7,2.5,3.8,conservative,all,720,1510,1.27,32.8,0.0157,-576,3/6,-142,1652,-0.0713
M30,7,2.5,3.8,conservative,ny,287,90,1.04,35.2,0.0241,-311,3/6,24,66,0.0233
M30,7,2.5,5.0,moderate,all,1476,860,1.07,34.3,-0.0046,-625,3/6,-286,1146,-0.0307
M30,7,2.5,5.0,moderate,asia,198,1070,1.8,32.3,0.1529,-245,4/6,-118,1188,-0.1073
M30,7,2.5,5.0,moderate,ny,580,-306,0.93,37.9,-0.0122,-596,2/6,-129,-177,-0.0047
M30,7,2.5,5.0,conservative,all,743,1717,1.32,33.0,0.0225,-603,3/6,-127,1844,-0.0325
M30,7,2.5,5.0,conservative,ny,289,310,1.15,36.7,0.0281,-215,3/6,-84,394,0.0178
M30,10,1.2,-,direct,all,5463,-150,0.99,34.2,-0.05,-1908,2/6,-1262,1112,-0.0824
M30,10,1.2,-,direct,asia,1053,72,1.02,35.3,-0.0354,-594,3/6,-243,315,-0.0623
M30,10,1.2,-,direct,ny,1658,483,1.06,37.3,0.0022,-378,5/6,99,384,-0.0002
M30,10,1.2,2.5,moderate,all,3781,771,1.04,34.2,-0.0303,-1350,2/6,-921,1693,-0.067
M30,10,1.2,2.5,moderate,asia,674,-237,0.93,34.1,-0.0215,-624,1/6,-72,-166,-0.0242
M30,10,1.2,2.5,moderate,ny,1242,948,1.15,39.0,-0.0127,-400,3/6,-99,1048,-0.0495
M30,10,1.2,2.5,conservative,all,2046,1047,1.11,34.3,-0.032,-860,2/6,-418,1465,-0.0688
M30,10,1.2,2.5,conservative,asia,385,-16,0.99,33.8,-0.0461,-379,3/6,-60,43,-0.0241
M30,10,1.2,2.5,conservative,ny,690,681,1.19,37.1,-0.024,-531,3/6,-114,795,-0.0665
M30,10,1.2,-,buy_only,all,2731,861,1.07,36.6,-0.0109,-708,3/6,-558,1419,-0.0748
M30,10,1.2,-,buy_only,asia,538,304,1.14,39.0,0.0038,-421,4/6,-129,434,-0.0617
M30,10,1.2,-,buy_only,ny,821,251,1.06,38.4,0.0238,-303,3/6,-28,278,-0.0147
M30,10,1.2,-,sell_only,all,2732,-1011,0.92,31.7,-0.0891,-2022,1/6,-704,-307,-0.0899
M30,10,1.2,-,sell_only,asia,515,-232,0.9,31.5,-0.0764,-512,1/6,-113,-119,-0.063
M30,10,1.2,-,sell_only,ny,837,232,1.05,36.3,-0.0189,-488,3/6,127,106,0.0143
M30,10,1.2,3.8,moderate,all,3308,734,1.05,34.1,-0.0387,-1373,2/6,-923,1657,-0.0761
M30,10,1.2,3.8,moderate,asia,536,102,1.04,37.1,-0.0142,-464,3/6,-90,192,-0.0217
M30,10,1.2,3.8,moderate,ny,1098,922,1.16,38.4,-0.0027,-361,3/6,-96,1018,-0.05
M30,10,1.2,3.8,conservative,all,2295,816,1.07,34.0,-0.0336,-829,2/6,-489,1305,-0.0767
M30,10,1.2,3.8,conservative,asia,412,167,1.09,36.7,-0.0149,-380,3/6,-55,223,-0.0205
M30,10,1.2,3.8,conservative,ny,723,712,1.19,37.9,0.0149,-306,3/6,-1,712,-0.0367
M30,10,1.2,5.0,moderate,all,3118,-316,0.98,34.0,-0.0468,-1146,2/6,-717,401,-0.0729
M30,10,1.2,5.0,moderate,asia,494,-27,0.99,34.2,-0.0562,-440,3/6,-173,146,-0.0668
M30,10,1.2,5.0,moderate,ny,1055,221,1.04,37.8,-0.0034,-384,3/6,-66,287,-0.023
M30,10,1.2,5.0,conservative,all,2414,261,1.02,34.0,-0.0499,-927,2/6,-516,777,-0.0818
M30,10,1.2,5.0,conservative,asia,410,-48,0.98,35.1,-0.0521,-498,2/6,-79,32,-0.0443
M30,10,1.2,5.0,conservative,ny,768,548,1.14,38.7,0.0163,-350,4/6,87,461,-0.0048
M30,10,1.8,-,direct,all,3307,650,1.03,33.1,-0.0465,-2060,2/6,-1111,1761,-0.093
M30,10,1.8,-,direct,asia,613,801,1.22,32.5,-0.0122,-468,2/6,-176,977,-0.0779
M30,10,1.8,-,direct,ny,1105,-817,0.88,34.7,-0.0791,-1222,1/6,-423,-394,-0.0918
M30,10,1.8,2.5,moderate,all,2703,945,1.06,33.6,-0.0305,-1571,2/6,-814,1759,-0.0723
M30,10,1.8,2.5,moderate,asia,438,995,1.36,32.6,0.0443,-534,4/6,-65,1060,-0.0353
M30,10,1.8,2.5,moderate,ny,938,-282,0.95,37.0,-0.0418,-849,2/6,-242,-40,-0.0662
M30,10,1.8,2.5,conservative,all,1283,-15,1.0,33.2,-0.0511,-1059,1/6,-345,330,-0.0891
M30,10,1.8,2.5,conservative,asia,186,280,1.23,34.4,0.0429,-263,3/6,-73,353,-0.0996
M30,10,1.8,2.5,conservative,ny,526,-60,0.98,34.6,-0.0526,-598,2/6,-194,134,-0.0917
M30,10,1.8,-,buy_only,all,1653,1194,1.13,35.7,0.0036,-611,3/6,-414,1608,-0.0695
M30,10,1.8,-,buy_only,asia,350,335,1.18,35.4,0.0242,-360,4/6,-56,392,-0.0278
M30,10,1.8,-,buy_only,ny,529,-108,0.97,37.1,-0.0368,-439,2/6,-131,24,-0.0762
M30,10,1.8,-,sell_only,all,1654,-544,0.95,30.5,-0.0966,-2164,1/6,-697,152,-0.1164
M30,10,1.8,-,sell_only,asia,263,466,1.25,28.5,-0.0605,-300,1/6,-119,585,-0.1513
M30,10,1.8,-,sell_only,ny,576,-709,0.81,32.5,-0.1179,-1140,1/6,-292,-417,-0.1064
M30,10,1.8,3.8,moderate,all,2230,1113,1.08,34.1,-0.0385,-1369,2/6,-862,1975,-0.0938
M30,10,1.8,3.8,moderate,asia,321,1434,1.81,37.4,0.0553,-207,3/6,-101,1535,-0.0796
M30,10,1.8,3.8,moderate,ny,810,-168,0.97,35.8,-0.0526,-916,2/6,-414,246,-0.11
M30,10,1.8,3.8,conservative,all,1216,848,1.11,33.2,-0.0557,-1102,2/6,-700,1548,-0.1501
M30,10,1.8,3.8,conservative,asia,199,1106,2.06,34.2,0.0627,-191,4/6,-109,1215,-0.1535
M30,10,1.8,3.8,conservative,ny,430,-215,0.92,33.7,-0.0931,-763,2/6,-395,180,-0.1725
M30,10,1.8,5.0,moderate,all,2040,293,1.02,34.6,-0.0361,-1304,2/6,-703,997,-0.0819
M30,10,1.8,5.0,moderate,asia,285,1080,1.64,32.3,0.0474,-216,3/6,-140,1220,-0.0985
M30,10,1.8,5.0,moderate,ny,782,-811,0.85,35.4,-0.0798,-1177,1/6,-495,-316,-0.1155
M30,10,1.8,5.0,conservative,all,1334,1138,1.14,33.4,-0.0388,-1111,2/6,-740,1878,-0.127
M30,10,1.8,5.0,conservative,asia,204,1005,1.84,32.4,0.0843,-177,4/6,-71,1076,-0.0885
M30,10,1.8,5.0,conservative,ny,499,-221,0.93,33.7,-0.0956,-757,2/6,-524,303,-0.1781
M30,10,2.5,-,direct,all,2100,1470,1.09,34.2,-0.0011,-856,2/6,-387,1857,-0.0317
M30,10,2.5,-,direct,asia,340,1187,1.41,33.2,0.1278,-550,5/6,39,1148,0.0569
M30,10,2.5,-,direct,ny,743,-71,0.99,37.6,-0.0182,-552,2/6,-220,149,-0.0462
M30,10,2.5,2.5,moderate,all,2100,1470,1.09,34.2,-0.0011,-856,2/6,-387,1857,-0.0317
M30,10,2.5,2.5,moderate,asia,340,1187,1.41,33.2,0.1278,-550,5/6,39,1148,0.0569
M30,10,2.5,2.5,moderate,ny,743,-71,0.99,37.6,-0.0182,-552,2/6,-220,149,-0.0462
M30,10,2.5,2.5,conservative,all,2100,1470,1.09,34.2,-0.0011,-856,2/6,-387,1857,-0.0317
M30,10,2.5,2.5,conservative,asia,340,1187,1.41,33.2,0.1278,-550,5/6,39,1148,0.0569
M30,10,2.5,2.5,conservative,ny,743,-71,0.99,37.6,-0.0182,-552,2/6,-220,149,-0.0462
M30,10,2.5,-,buy_only,all,1050,1445,1.19,36.0,0.0634,-524,3/6,-104,1549,-0.0018
M30,10,2.5,-,buy_only,asia,200,805,1.51,34.5,0.1544,-188,5/6,6,800,0.0578
M30,10,2.5,-,buy_only,ny,344,293,1.11,41.0,0.0954,-541,5/6,210,83,0.0936
M30,10,2.5,-,sell_only,all,1050,24,1.0,32.4,-0.0657,-1452,2/6,-283,307,-0.0616
M30,10,2.5,-,sell_only,ny,399,-364,0.86,34.6,-0.1163,-785,1/6,-430,66,-0.1661
M30,10,2.5,3.8,moderate,all,1628,1768,1.15,35.2,-0.0025,-849,2/6,-406,2174,-0.0449
M30,10,2.5,3.8,moderate,asia,216,1178,1.73,37.0,0.1191,-190,4/6,-128,1306,-0.1173
M30,10,2.5,3.8,moderate,ny,626,180,1.04,38.2,-0.0081,-495,3/6,-197,377,-0.0455
M30,10,2.5,3.8,conservative,all,684,1342,1.26,33.5,0.0126,-662,2/6,-255,1597,-0.0776
M30,10,2.5,3.8,conservative,ny,286,292,1.14,36.0,0.0062,-379,2/6,-95,388,-0.0311
M30,10,2.5,5.0,moderate,all,1436,1088,1.1,34.2,0.0034,-670,3/6,-248,1336,-0.0275
M30,10,2.5,5.0,moderate,asia,180,1038,1.78,31.1,0.1179,-234,3/6,-146,1184,-0.1352
M30,10,2.5,5.0,moderate,ny,588,-365,0.92,37.2,-0.0268,-601,1/6,-232,-133,-0.035
M30,10,2.5,5.0,conservative,all,740,1711,1.32,33.6,0.0268,-612,4/6,-232,1944,-0.0554
M30,10,2.5,5.0,conservative,ny,307,336,1.17,36.5,-0.0087,-375,2/6,-274,610,-0.0753
M30,14,1.2,-,direct,all,5461,-326,0.99,34.2,-0.0569,-2061,2/6,-1293,966,-0.0838
M30,14,1.2,-,direct,asia,1011,-30,0.99,34.9,-0.0503,-556,3/6,-223,193,-0.064
M30,14,1.2,-,direct,ny,1692,-32,1.0,36.6,-0.0144,-422,3/6,-19,-13,-0.0123
M30,14,1.2,2.5,moderate,all,3774,771,1.04,33.8,-0.0325,-1451,2/6,-890,1661,-0.0625
