masuk,keluar,arah,px_in,px_out,risk,sebab,pnl,R,equity,dd%
2026-01-02 15:00:00+00:00,2026-01-05 00:00:00+00:00,-1,4352.955,4372.275,48.972999999999956,flip,-19.81999999999971,-0.4047128009311197,980.1800000000003,0.0
2026-01-13 15:00:00+00:00,2026-01-13 18:00:00+00:00,1,4629.075,4590.255,55.75,flip,-39.31999999999971,-0.7052914798206226,940.8600000000006,-4.011508090350721
2026-01-14 02:00:00+00:00,2026-01-15 02:00:00+00:00,1,4619.055,4599.748,49.86999999999989,flip,-19.8070000000007,-0.39717264888712134,921.0529999999999,-6.032259380930073
2026-01-19 00:00:00+00:00,2026-01-21 18:00:00+00:00,1,4672.375,4826.155,135.85999999999967,flip,153.27999999999975,1.1282202267039607,1074.3329999999996,0.0
2026-01-23 16:00:00+00:00,2026-01-26 20:00:00+00:00,1,4960.345,5028.265,60.80000000000018,flip,67.42000000000007,1.1088815789473663,1141.7529999999997,0.0
2026-01-27 07:00:00+00:00,2026-01-28 23:00:00+00:00,1,5085.585,5468.704999999999,95.77999999999975,TP,382.619999999999,3.994779703487158,1524.3729999999987,0.0
2026-01-30 03:00:00+00:00,2026-02-02 10:00:00+00:00,-1,5223.795,4718.285,325.53999999999996,flip,505.0100000000002,1.5512993794925363,2029.382999999999,0.0
2026-02-05 00:00:00+00:00,2026-02-05 02:00:00+00:00,1,5011.705,4844.165,167.53999999999996,SL,-168.03999999999996,-1.0029843619434164,1861.342999999999,-8.280349249008198
2026-02-05 03:00:00+00:00,2026-02-06 04:00:00+00:00,-1,4810.768,4823.915,252.38699999999972,flip,-13.646999999999935,-0.05407172318701022,1847.695999999999,-8.952819650110403
2026-02-11 11:00:00+00:00,2026-02-11 13:00:00+00:00,1,5093.015,5020.045,72.97000000000025,SL,-73.47000000000025,-1.006852131012745,1774.2259999999987,-12.573131833665714
2026-02-16 05:00:00+00:00,2026-02-18 04:00:00+00:00,-1,4977.515,4920.445,74.16299999999956,flip,56.57000000000062,0.762779283470207,1830.7959999999994,-9.785585076843535
