masuk,keluar,arah,px_in,px_out,risk,sebab,pnl,R,equity,puncak,dd$,dd%
2026-01-02 15:00:00+00:00,2026-01-05 00:00:00+00:00,-1,4352.955,4372.275,48.972999999999956,vote,-19.81999999999971,-0.4047128009311197,980.1800000000003,980.1800000000003,0.0,0.0
2026-01-08 17:00:00+00:00,2026-01-12 16:00:00+00:00,1,4462.945,4620.765,55.460000000000036,vote,157.32000000000062,2.836639019112883,1137.500000000001,1137.500000000001,0.0,0.0
2026-01-13 14:00:00+00:00,2026-01-13 20:00:00+00:00,1,4611.165,4573.325,37.840000000000146,SL,-38.340000000000146,-1.013213530655391,1099.1600000000008,1137.500000000001,-38.340000000000146,-3.370549450549461
2026-01-14 02:00:00+00:00,2026-01-15 02:00:00+00:00,1,4619.055,4599.748,49.86999999999989,vote,-19.8070000000007,-0.39717264888712134,1079.353,1137.500000000001,-58.147000000000844,-5.111824175824246
2026-01-19 00:00:00+00:00,2026-01-21 20:00:00+00:00,1,4672.375,4780.858,135.85999999999967,vote,107.98300000000017,0.7948108346827649,1187.3360000000002,1187.3360000000002,0.0,0.0
2026-01-21 20:00:00+00:00,2026-01-22 16:00:00+00:00,-1,4780.858,4871.645,107.21699999999964,vote,-91.28700000000026,-0.8514228154117403,1096.049,1187.3360000000002,-91.28700000000026,-7.688388122654433
2026-01-22 16:00:00+00:00,2026-01-26 23:00:00+00:00,1,4871.645,5011.698,116.30000000000018,vote,139.55299999999988,1.1999398108340469,1235.6019999999999,1235.6019999999999,0.0,0.0
2026-01-27 07:00:00+00:00,2026-01-28 23:00:00+00:00,1,5085.585,5420.814999999999,95.77999999999975,TP,334.72999999999865,3.4947797034871533,1570.3319999999985,1570.3319999999985,0.0,0.0
2026-01-28 23:00:00+00:00,2026-01-29 15:00:00+00:00,1,5417.098,5201.375,215.72299999999996,SL,-216.22299999999998,-1.0023177871622404,1354.1089999999986,1570.3319999999985,-216.22299999999996,-13.76925389026016
2026-01-29 15:00:00+00:00,2026-01-29 16:00:00+00:00,1,5496.055,5268.245,227.8100000000004,SL,-228.31000000000043,-1.0021948114656951,1125.7989999999982,1570.3319999999985,-444.53300000000036,-28.308217625317496
2026-01-29 16:00:00+00:00,2026-02-03 02:00:00+00:00,-1,5181.825,4840.795,414.9800000000005,vote,340.52999999999975,0.8205937635548687,1466.328999999998,1570.3319999999985,-104.00300000000061,-6.622994373164446
2026-02-04 15:00:00+00:00,2026-02-05 00:00:00+00:00,-1,4984.379,5011.705,107.01600000000053,vote,-27.826000000000022,-0.260017193690662,1438.5029999999979,1570.3319999999985,-131.82900000000063,-8.394976348950461
2026-02-05 02:00:00+00:00,2026-02-06 06:00:00+00:00,-1,4958.315,4896.885,133.08000000000084,vote,60.92999999999938,0.4578449053201007,1499.4329999999973,1570.3319999999985,-70.89900000000125,-4.514905128342371
2026-02-11 11:00:00+00:00,2026-02-12 13:00:00+00:00,1,5093.015,5052.475,94.32999999999993,vote,-41.039999999999964,-0.43506837697445133,1458.3929999999973,1570.3319999999985,-111.93900000000122,-7.128365211942527
2026-02-12 17:00:00+00:00,2026-02-13 17:00:00+00:00,-1,4954.295,5007.635,145.5029999999997,vote,-53.840000000000146,-0.3700267348439569,1404.5529999999972,1570.3319999999985,-165.77900000000136,-10.556939551636312
2026-02-16 05:00:00+00:00,2026-02-18 13:00:00+00:00,-1,4977.515,4942.915,74.16299999999956,vote,34.100000000000364,0.4597980124860182,1438.6529999999975,1570.3319999999985,-131.679000000001,-8.385424228761888
