TF,mult_e,struct,TP_R,sesi,n,net,PF,WR%,avgR,maxDD,hijau,avgR_side,net_side,avgR_bull,net_bull
M30,1.8,10,5.0,asia,613,2373.0,1.21,31.8,-0.036,-1620.0,2/6,-0.09,-516.0,0.017,2889.0
M15,1.8,20,4.0,asia,1452,426.0,1.03,37.0,-0.037,-1225.0,2/6,-0.071,-718.0,0.003,1144.0
M5,1.8,20,2.0,ny,4744,-4845.0,0.9,35.2,-0.037,-5035.0,0/6,-0.05,-2155.0,-0.022,-2690.0
M30,1.8,10,3.0,all,3307,2659.0,1.04,33.5,-0.037,-4904.0,2/6,-0.082,-2455.0,0.019,5113.0
M30,1.2,20,5.0,all,5463,2216.0,1.03,34.7,-0.037,-4575.0,2/6,-0.076,-3133.0,0.011,5348.0
M30,1.2,10,5.0,all,5463,1484.0,1.02,34.4,-0.038,-4501.0,2/6,-0.079,-3049.0,0.014,4533.0
M15,1.8,20,5.0,asia,1452,259.0,1.02,36.9,-0.038,-1384.0,2/6,-0.069,-691.0,-0.0,950.0
M5,1.8,10,3.0,ny,4744,-4960.0,0.9,34.7,-0.038,-5137.0,0/6,-0.05,-1935.0,-0.023,-3024.0
M15,1.8,20,2.0,all,6715,-4320.0,0.95,35.2,-0.038,-4769.0,0/6,-0.045,-2081.0,-0.03,-2239.0
M5,1.8,10,2.0,asia,4432,589.0,1.02,35.8,-0.038,-1215.0,2/6,-0.059,-703.0,-0.012,1292.0
M15,1.8,10,4.0,asia,1452,340.0,1.02,36.8,-0.038,-1193.0,2/6,-0.073,-671.0,0.004,1010.0
M30,1.8,10,2.0,all,3307,1301.0,1.02,34.1,-0.038,-4852.0,2/6,-0.077,-2356.0,0.012,3657.0
M15,1.8,20,3.0,all,6715,-2775.0,0.97,34.8,-0.039,-3203.0,1/6,-0.05,-2289.0,-0.026,-486.0
M5,1.8,20,5.0,ny,4744,-5023.0,0.89,34.7,-0.039,-5104.0,1/6,-0.051,-2122.0,-0.023,-2901.0
M5,1.8,10,2.0,ny,4744,-4761.0,0.9,35.2,-0.039,-4910.0,0/6,-0.052,-2028.0,-0.023,-2733.0
M30,1.2,20,2.0,all,5463,-676.0,0.99,35.2,-0.039,-4238.0,2/6,-0.066,-2872.0,-0.005,2196.0
M15,1.8,10,5.0,asia,1452,110.0,1.01,36.8,-0.039,-1362.0,2/6,-0.067,-634.0,-0.007,744.0
M5,1.2,20,4.0,ny,7627,-5336.0,0.91,34.3,-0.04,-6081.0,0/6,-0.053,-3100.0,-0.024,-2236.0
M15,1.2,10,2.0,all,11053,-3350.0,0.97,35.5,-0.04,-5238.0,2/6,-0.055,-3276.0,-0.022,-74.0
M15,1.2,20,3.0,all,11053,-3622.0,0.97,35.2,-0.04,-5579.0,2/6,-0.058,-3658.0,-0.019,36.0
M5,1.2,20,2.0,ny,7627,-5309.0,0.91,34.7,-0.042,-6481.0,0/6,-0.061,-3594.0,-0.019,-1714.0
M15,1.2,10,3.0,all,11053,-3695.0,0.97,35.0,-0.042,-5003.0,2/6,-0.058,-3373.0,-0.023,-322.0
M15,1.2,10,5.0,asia,2276,1349.0,1.07,37.5,-0.042,-1166.0,3/6,-0.068,-432.0,-0.012,1781.0
M5,1.2,20,3.0,ny,7627,-5431.0,0.91,34.4,-0.042,-6123.0,0/6,-0.056,-3307.0,-0.025,-2124.0
M30,1.2,10,2.0,all,5463,-1328.0,0.98,35.1,-0.042,-4055.0,2/6,-0.072,-2908.0,-0.005,1580.0
M30,1.2,20,flip,all,5463,1241.0,1.02,34.7,-0.042,-4666.0,2/6,-0.075,-3248.0,-0.0,4489.0
M15,1.8,10,2.0,all,6715,-4290.0,0.95,35.1,-0.042,-5250.0,0/6,-0.052,-2464.0,-0.03,-1826.0
M15,1.2,10,flip,asia,2276,1149.0,1.06,37.5,-0.043,-1190.0,3/6,-0.063,-415.0,-0.021,1564.0
M15,1.8,10,3.0,all,6715,-3964.0,0.95,34.6,-0.043,-4849.0,1/6,-0.055,-2584.0,-0.028,-1380.0
M30,1.2,10,3.0,all,5463,-824.0,0.99,34.6,-0.043,-4400.0,2/6,-0.071,-2782.0,-0.009,1959.0
M15,1.8,20,5.0,all,6715,-3765.0,0.96,34.7,-0.044,-4116.0,1/6,-0.058,-2445.0,-0.027,-1320.0
M5,1.8,10,5.0,asia,4432,-72.0,1.0,35.3,-0.044,-1427.0,2/6,-0.074,-894.0,-0.007,823.0
M5,1.8,20,4.0,asia,4432,-96.0,1.0,35.5,-0.044,-1393.0,2/6,-0.069,-849.0,-0.013,753.0
M5,1.8,20,3.0,asia,4432,-449.0,0.98,35.6,-0.044,-1351.0,1/6,-0.064,-816.0,-0.019,368.0
M5,1.2,10,5.0,ny,7627,-5109.0,0.91,34.1,-0.045,-6002.0,0/6,-0.058,-2954.0,-0.028,-2155.0
M5,1.8,20,5.0,asia,4432,-3.0,1.0,35.5,-0.045,-1462.0,2/6,-0.071,-883.0,-0.013,880.0
M30,1.2,10,flip,all,5463,-37.0,1.0,34.4,-0.045,-4729.0,2/6,-0.082,-3302.0,0.001,3265.0
M15,1.8,20,4.0,all,6715,-4065.0,0.95,34.8,-0.045,-4714.0,0/6,-0.054,-2266.0,-0.033,-1799.0
M15,1.2,20,flip,all,11053,-5152.0,0.95,35.1,-0.045,-6559.0,1/6,-0.061,-4039.0,-0.025,-1114.0
M5,1.8,10,3.0,asia,4432,-309.0,0.99,35.4,-0.045,-1337.0,2/6,-0.066,-811.0,-0.019,503.0
M15,1.2,20,4.0,all,11053,-5662.0,0.95,35.1,-0.046,-6200.0,1/6,-0.062,-4005.0,-0.026,-1657.0
M5,1.8,10,4.0,asia,4432,-18.0,1.0,35.3,-0.046,-1403.0,2/6,-0.074,-902.0,-0.012,884.0
