TF,mult_e,struct,TP_R,sesi,n,net,PF,WR%,avgR,maxDD,hijau,avgR_side,net_side,avgR_bull,net_bull
M5,1.8,20,flip,all,21437,-18298.0,0.88,33.4,-0.075,-18793.0,1/7,-0.102,-10523.0,-0.042,-7778.0
M5,1.8,10,2.0,all,21431,-18017.0,0.88,33.6,-0.079,-18597.0,1/7,-0.106,-9957.0,-0.047,-8066.0
M5,1.8,10,5.0,all,21431,-16272.0,0.89,33.2,-0.08,-16726.0,1/7,-0.116,-10532.0,-0.036,-5742.0
M5,1.8,10,3.0,all,21431,-17730.0,0.89,33.3,-0.08,-18315.0,1/7,-0.11,-10088.0,-0.043,-7644.0
M5,1.8,10,4.0,all,21431,-16168.0,0.9,33.2,-0.08,-16758.0,1/7,-0.115,-10559.0,-0.037,-5612.0
M5,1.8,10,flip,all,21431,-17982.0,0.88,33.2,-0.083,-18498.0,1/7,-0.115,-10471.0,-0.043,-7513.0
M5,1.2,10,flip,all,35398,-24116.0,0.88,33.2,-0.084,-25054.0,1/7,-0.114,-15089.0,-0.047,-9041.0
M5,1.2,10,5.0,all,35398,-24295.0,0.88,33.2,-0.085,-25136.0,1/7,-0.117,-15492.0,-0.046,-8817.0
M5,1.2,10,2.0,all,35398,-26692.0,0.87,33.5,-0.085,-28143.0,1/7,-0.112,-15460.0,-0.052,-11240.0
M5,1.2,10,3.0,all,35398,-25996.0,0.87,33.3,-0.086,-26852.0,1/7,-0.113,-15318.0,-0.051,-10694.0
M5,1.2,10,4.0,all,35398,-24987.0,0.88,33.2,-0.086,-25774.0,1/7,-0.116,-15582.0,-0.047,-9420.0
